payment_id,order_id,status,createdAt,plan_id,planName,amount,months
60f7bb86a8f24781ffb9d8e9,48992013-af97-45eb-834f-5d7b4571ebc8,SUCCEEDED,2021-07-21T06:15:34.993Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
60fa6182c1b1be872389289e,c9b61037-6285-4243-858f-e2aa69436e61,CANCELLED,2021-07-23T06:28:18.274Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
61038d1ec1b1be89628fca48,82605ff3-d9a4-45fd-bd0a-bd4f13e176a6,CANCELLED,2021-07-30T05:24:46.708Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
61038d44c1b1be27258fca5c,723ff40a-a103-41c1-b5ed-bc8ceaf08af8,SUCCEEDED,2021-07-30T05:25:24.959Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
6104de8cc1b1be5ee990e181,901ea285-d70c-4d31-af9c-c62eb951fc4d,CANCELLED,2021-07-31T05:24:28.405Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
6104df00c1b1bee26a90e1d9,0ba07c68-4842-4526-af83-05eaf63b3445,SUCCEEDED,2021-07-31T05:26:24.725Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
6108f302c1b1be78f794c912,a471e739-0092-43d9-8e35-f9f61c323d70,CANCELLED,2021-08-03T07:40:50.375Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
6108f312c1b1be0d0b94c930,36bf2590-f5d1-47b9-92ac-04cdc8430241,CANCELLED,2021-08-03T07:41:06.374Z,60eac7dd90455cbc467ec8d7,Medium - 3 мес,1047,3
610bba5747319420cad212f6,6346306d-1cc9-4cda-be5b-9017ffdb4ab2,SUCCEEDED,2021-08-05T10:15:51.028Z,60eac76b90455c5d167ec8b8,Start - 3 мес,447,3
611cd8d04731947208e5b913,d6708668-2099-4372-8e07-5c54c6284ce2,CANCELLED,2021-08-18T09:54:24.715Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
611e5aa2473194c065e7cd97,cf5742e2-f238-456b-993f-fc77d20ea2d3,SUCCEEDED,2021-08-19T13:20:34.768Z,60eac72290455cce1f7ec8a4,Start - 1 год,1788,12
